,Year,Team Name,Team Abbreviation,Rank
683,2007,New Jersey Nets,NJN,15
684,2007,New York Knicks,NYK,16
685,2007,Houston Rockets,HOU,17
686,2007,Charlotte Bobcats,CHA,18
687,2007,Cleveland Cavaliers,CLE,19
688,2007,Minnesota Timberwolves,MIN,20
689,2007,Detroit Pistons,DET,21
690,2007,Boston Celtics,BOS,22
691,2007,Los Angeles Clippers,LAC,23
692,2007,Indiana Pacers,IND,24
693,2007,New Orleans/Oklahoma City Hornets,NOK,25
694,2007,Philadelphia 76ers,PHI,26
695,2007,Orlando Magic,ORL,27
696,2007,Miami Heat,MIA,28
697,2007,Portland Trail Blazers,POR,29
698,2007,Atlanta Hawks,ATL,30
699,2008,Golden State Warriors,GSW,1
700,2008,Denver Nuggets,DEN,2
701,2008,Phoenix Suns,PHO,3
702,2008,Los Angeles Lakers,LAL,4
703,2008,Utah Jazz,UTA,5
704,2008,Orlando Magic,ORL,6
705,2008,Indiana Pacers,IND,7
706,2008,Sacramento Kings,SAC,8
707,2008,New Orleans Hornets,NOH,9
708,2008,Memphis Grizzlies,MEM,10
709,2008,Boston Celtics,BOS,11
710,2008,Dallas Mavericks,DAL,12
711,2008,Toronto Raptors,TOR,13
712,2008,Washington Wizards,WAS,14
713,2008,Atlanta Hawks,ATL,15
714,2008,Seattle SuperSonics,SEA,16
715,2008,Detroit Pistons,DET,17
716,2008,Chicago Bulls,CHI,18
717,2008,Charlotte Bobcats,CHA,19
718,2008,Milwaukee Bucks,MIL,20
719,2008,New York Knicks,NYK,21
720,2008,Houston Rockets,HOU,22
721,2008,Philadelphia 76ers,PHI,23
722,2008,Cleveland Cavaliers,CLE,24
723,2008,New Jersey Nets,NJN,25
724,2008,Minnesota Timberwolves,MIN,26
725,2008,Portland Trail Blazers,POR,27
726,2008,San Antonio Spurs,SAS,28
727,2008,Los Angeles Clippers,LAC,29
728,2008,Miami Heat,MIA,30
729,2009,Phoenix Suns,PHO,1
730,2009,Golden State Warriors,GSW,2
731,2009,Los Angeles Lakers,LAL,3
732,2009,New York Knicks,NYK,4
733,2009,Indiana Pacers,IND,5
734,2009,Denver Nuggets,DEN,6
735,2009,Utah Jazz,UTA,7
736,2009,Chicago Bulls,CHI,8
737,2009,Dallas Mavericks,DAL,9
738,2009,Orlando Magic,ORL,10
739,2009,Boston Celtics,BOS,11
740,2009,Sacramento Kings,SAC,12
741,2009,Cleveland Cavaliers,CLE,13
742,2009,Portland Trail Blazers,POR,14
743,2009,Milwaukee Bucks,MIL,15
744,2009,Toronto Raptors,TOR,16
745,2009,Houston Rockets,HOU,17
746,2009,Miami Heat,MIA,18
747,2009,Atlanta Hawks,ATL,19
748,2009,New Jersey Nets,NJN,20
749,2009,Minnesota Timberwolves,MIN,21
750,2009,Philadelphia 76ers,PHI,22
751,2009,San Antonio Spurs,SAS,23
752,2009,Oklahoma City Thunder,OKC,24
753,2009,Washington Wizards,WAS,25
754,2009,New Orleans Hornets,NOH,26
755,2009,Los Angeles Clippers,LAC,27
756,2009,Detroit Pistons,DET,28
757,2009,Memphis Grizzlies,MEM,29
758,2009,Charlotte Bobcats,CHA,30
759,2010,Phoenix Suns,PHO,1
760,2010,Golden State Warriors,GSW,2
761,2010,Denver Nuggets,DEN,3
762,2010,Utah Jazz,UTA,4
763,2010,Toronto Raptors,TOR,5
764,2010,Orlando Magic,ORL,6
765,2010,Memphis Grizzlies,MEM,7
766,2010,Houston Rockets,HOU,8
767,2010,New York Knicks,NYK,9
768,2010,Cleveland Cavaliers,CLE,10
769,2010,Dallas Mavericks,DAL,11
770,2010,Los Angeles Lakers,LAL,12
771,2010,Atlanta Hawks,ATL,13
772,2010,Oklahoma City Thunder,OKC,14
773,2010,San Antonio Spurs,SAS,15
774,2010,Indiana Pacers,IND,16
775,2010,New Orleans Hornets,NOH,17
776,2010,Sacramento Kings,SAC,18
777,2010,Boston Celtics,BOS,19
778,2010,Minnesota Timberwolves,MIN,20
779,2010,Portland Trail Blazers,POR,21
780,2010,Philadelphia 76ers,PHI,22
781,2010,Milwaukee Bucks,MIL,23
782,2010,Chicago Bulls,CHI,24
783,2010,Miami Heat,MIA,25
784,2010,Washington Wizards,WAS,26
785,2010,Los Angeles Clippers,LAC,27
786,2010,Charlotte Bobcats,CHA,28
787,2010,Detroit Pistons,DET,29
788,2010,New Jersey Nets,NJN,30
789,2011,Denver Nuggets,DEN,1
790,2011,New York Knicks,NYK,2
791,2011,Houston Rockets,HOU,3
792,2011,Phoenix Suns,PHO,4
793,2011,Oklahoma City Thunder,OKC,5
794,2011,San Antonio Spurs,SAS,6
795,2011,Golden State Warriors,GSW,7
796,2011,Miami Heat,MIA,8
797,2011,Los Angeles Lakers,LAL,9
798,2011,Minnesota Timberwolves,MIN,10
799,2011,Dallas Mavericks,DAL,11
800,2011,Memphis Grizzlies,MEM,12
801,2011,Indiana Pacers,IND,13
802,2011,Utah Jazz,UTA,14
803,2011,Sacramento Kings,SAC,15
804,2011,Orlando Magic,ORL,16
805,2011,Toronto Raptors,TOR,17
806,2011,Philadelphia 76ers,PHI,18
807,2011,Los Angeles Clippers,LAC,19
808,2011,Chicago Bulls,CHI,20
809,2011,Washington Wizards,WAS,21
810,2011,Detroit Pistons,DET,22
811,2011,Boston Celtics,BOS,23
812,2011,Portland Trail Blazers,POR,24
813,2011,Cleveland Cavaliers,CLE,25
814,2011,Atlanta Hawks,ATL,26
815,2011,New Orleans Hornets,NOH,27
816,2011,New Jersey Nets,NJN,28
817,2011,Charlotte Bobcats,CHA,29
818,2011,Milwaukee Bucks,MIL,30
819,2012,Denver Nuggets,DEN,1
820,2012,San Antonio Spurs,SAS,2
821,2012,Oklahoma City Thunder,OKC,3
822,2012,Utah Jazz,UTA,4
823,2012,Milwaukee Bucks,MIL,5
824,2012,Sacramento Kings,SAC,6
825,2012,Miami Heat,MIA,7
826,2012,Phoenix Suns,PHO,8
827,2012,Houston Rockets,HOU,9
828,2012,Minnesota Timberwolves,MIN,10
829,2012,New York Knicks,NYK,11
830,2012,Golden State Warriors,GSW,12
831,2012,Indiana Pacers,IND,13
832,2012,Los Angeles Clippers,LAC,14
833,2012,Los Angeles Lakers,LAL,15
834,2012,Portland Trail Blazers,POR,16
835,2012,Atlanta Hawks,ATL,17
836,2012,Chicago Bulls,CHI,18
837,2012,Dallas Mavericks,DAL,19
838,2012,Memphis Grizzlies,MEM,20
839,2012,Orlando Magic,ORL,21
840,2012,Washington Wizards,WAS,22
841,2012,Philadelphia 76ers,PHI,23
842,2012,New Jersey Nets,NJN,24
843,2012,Cleveland Cavaliers,CLE,25
844,2012,Boston Celtics,BOS,26
845,2012,Detroit Pistons,DET,27
846,2012,Toronto Raptors,TOR,28
847,2012,New Orleans Hornets,NOH,29
848,2012,Charlotte Bobcats,CHA,30
849,2013,Denver Nuggets,DEN,1
850,2013,Houston Rockets,HOU,2
851,2013,Oklahoma City Thunder,OKC,3
852,2013,San Antonio Spurs,SAS,4
853,2013,Miami Heat,MIA,5
854,2013,Los Angeles Lakers,LAL,6
855,2013,Golden State Warriors,GSW,7
856,2013,Dallas Mavericks,DAL,8
857,2013,Los Angeles Clippers,LAC,9
858,2013,Sacramento Kings,SAC,10
859,2013,New York Knicks,NYK,11
860,2013,Milwaukee Bucks,MIL,12
861,2013,Utah Jazz,UTA,13
862,2013,Atlanta Hawks,ATL,14
863,2013,Portland Trail Blazers,POR,15
864,2013,Toronto Raptors,TOR,16
865,2013,Brooklyn Nets,BRK,17
866,2013,Cleveland Cavaliers,CLE,18
867,2013,Minnesota Timberwolves,MIN,19
868,2013,Boston Celtics,BOS,20
869,2013,Phoenix Suns,PHO,21
870,2013,Detroit Pistons,DET,22
871,2013,Orlando Magic,ORL,23
872,2013,New Orleans Hornets,NOH,24
873,2013,Indiana Pacers,IND,25
874,2013,Charlotte Bobcats,CHA,26
875,2013,Memphis Grizzlies,MEM,27
876,2013,Washington Wizards,WAS,28
877,2013,Chicago Bulls,CHI,29
878,2013,Philadelphia 76ers,PHI,30
879,2014,Los Angeles Clippers,LAC,1
880,2014,Houston Rockets,HOU,2
881,2014,Minnesota Timberwolves,MIN,3
882,2014,Portland Trail Blazers,POR,4
883,2014,Oklahoma City Thunder,OKC,5
884,2014,San Antonio Spurs,SAS,6
885,2014,Phoenix Suns,PHO,7
886,2014,Dallas Mavericks,DAL,8
887,2014,Denver Nuggets,DEN,9
888,2014,Golden State Warriors,GSW,10
889,2014,Los Angeles Lakers,LAL,11
890,2014,Miami Heat,MIA,12
891,2014,Toronto Raptors,TOR,13
892,2014,Detroit Pistons,DET,14
893,2014,Atlanta Hawks,ATL,15
894,2014,Washington Wizards,WAS,16
895,2014,Sacramento Kings,SAC,17
896,2014,New Orleans Pelicans,NOP,18
897,2014,Philadelphia 76ers,PHI,19
898,2014,New York Knicks,NYK,20
899,2014,Brooklyn Nets,BRK,21
900,2014,Cleveland Cavaliers,CLE,22
901,2014,Charlotte Bobcats,CHA,23
902,2014,Indiana Pacers,IND,24
903,2014,Orlando Magic,ORL,25
904,2014,Boston Celtics,BOS,26
905,2014,Memphis Grizzlies,MEM,27
906,2014,Milwaukee Bucks,MIL,28
907,2014,Utah Jazz,UTA,29
908,2014,Chicago Bulls,CHI,30
909,2015,Golden State Warriors,GSW,1
910,2015,Los Angeles Clippers,LAC,2
911,2015,Dallas Mavericks,DAL,3
912,2015,Toronto Raptors,TOR,4
913,2015,Oklahoma City Thunder,OKC,5
914,2015,Houston Rockets,HOU,6
915,2015,San Antonio Spurs,SAS,7
916,2015,Cleveland Cavaliers,CLE,8
917,2015,Portland Trail Blazers,POR,9
918,2015,Atlanta Hawks,ATL,10
919,2015,Phoenix Suns,PHO,11
920,2015,Denver Nuggets,DEN,12
921,2015,Boston Celtics,BOS,13
922,2015,Sacramento Kings,SAC,14
923,2015,Chicago Bulls,CHI,15
924,2015,New Orleans Pelicans,NOP,16
925,2015,Washington Wizards,WAS,17
926,2015,Detroit Pistons,DET,18
927,2015,Los Angeles Lakers,LAL,19
928,2015,Memphis Grizzlies,MEM,20
929,2015,Brooklyn Nets,BRK,21
930,2015,Milwaukee Bucks,MIL,22
931,2015,Minnesota Timberwolves,MIN,23
932,2015,Indiana Pacers,IND,24
933,2015,Orlando Magic,ORL,25
934,2015,Utah Jazz,UTA,26
935,2015,Miami Heat,MIA,27
936,2015,Charlotte Hornets,CHO,28
937,2015,Philadelphia 76ers,PHI,29
938,2015,New York Knicks,NYK,30
939,2016,Golden State Warriors,GSW,1
940,2016,Oklahoma City Thunder,OKC,2
941,2016,Sacramento Kings,SAC,3
942,2016,Houston Rockets,HOU,4
943,2016,Boston Celtics,BOS,5
944,2016,Portland Trail Blazers,POR,6
945,2016,Los Angeles Clippers,LAC,7
946,2016,Cleveland Cavaliers,CLE,8
947,2016,Washington Wizards,WAS,9
948,2016,San Antonio Spurs,SAS,10
949,2016,Charlotte Hornets,CHO,11
950,2016,Atlanta Hawks,ATL,12
951,2016,New Orleans Pelicans,NOP,13
952,2016,Toronto Raptors,TOR,14
953,2016,Minnesota Timberwolves,MIN,15
954,2016,Dallas Mavericks,DAL,16
955,2016,Indiana Pacers,IND,17
956,2016,Orlando Magic,ORL,18
957,2016,Detroit Pistons,DET,19
958,2016,Denver Nuggets,DEN,20
959,2016,Chicago Bulls,CHI,21
960,2016,Phoenix Suns,PHO,22
961,2016,Miami Heat,MIA,23
962,2016,Memphis Grizzlies,MEM,24
963,2016,Milwaukee Bucks,MIL,25
964,2016,Brooklyn Nets,BRK,26
965,2016,New York Knicks,NYK,27
966,2016,Utah Jazz,UTA,28
967,2016,Philadelphia 76ers,PHI,29
968,2016,Los Angeles Lakers,LAL,30
969,2017,Golden State Warriors,GSW,1
970,2017,Houston Rockets,HOU,2
971,2017,Denver Nuggets,DEN,3
972,2017,Cleveland Cavaliers,CLE,4
973,2017,Washington Wizards,WAS,5
974,2017,Los Angeles Clippers,LAC,6
975,2017,Boston Celtics,BOS,7
976,2017,Portland Trail Blazers,POR,8
977,2017,Phoenix Suns,PHO,9
978,2017,Toronto Raptors,TOR,10
979,2017,Oklahoma City Thunder,OKC,11
980,2017,Brooklyn Nets,BRK,12
981,2017,Minnesota Timberwolves,MIN,13
982,2017,San Antonio Spurs,SAS,14
983,2017,Indiana Pacers,IND,15
984,2017,Charlotte Hornets,CHO,16
985,2017,Los Angeles Lakers,LAL,17
986,2017,New Orleans Pelicans,NOP,18
987,2017,New York Knicks,NYK,19
988,2017,Milwaukee Bucks,MIL,20
989,2017,Miami Heat,MIA,21
990,2017,Atlanta Hawks,ATL,22
991,2017,Chicago Bulls,CHI,23
992,2017,Sacramento Kings,SAC,24
993,2017,Philadelphia 76ers,PHI,25
994,2017,Detroit Pistons,DET,26
995,2017,Orlando Magic,ORL,27
996,2017,Utah Jazz,UTA,28
997,2017,Memphis Grizzlies,MEM,29
998,2017,Dallas Mavericks,DAL,30
